ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Cage,MiceName,Date,AgeMonths,DeathDate,diff
34-0_7-20,0.08694923,0.3685956,0.039760605,0.2494371,-0.2716747,-0.30130294,0.2205626,-0.025782317,0.2041022,-0.028041227,Agf34,34-0,2020-07-01,4,2021-05-01,270
36-2_7-20,-0.087277606,0.07556228,0.14040188,0.03583645,-0.29521737,-0.11650965,0.26567644,-0.23694119,-0.078192964,0.03258773,Agf36,36-2,2020-07-01,4,2021-07-01,390
20-1_5-20,-0.012514666,0.1485164,0.003231272,0.32108894,-0.26890224,-0.25956583,0.20063648,-0.11760101,0.02998814,-0.06040197,Agf20,20-1,2020-05-01,4,2020-01-01,240
47-1_7-20,0.053893134,0.013434738,0.07721378,0.23593444,-0.2545445,-0.2573025,0.10517336,-0.21374877,-0.13432111,0.060914263,Agf47,47-1,2020-07-01,4,2021-05-01,270
41-1_7-20,-0.0552174,0.19672401,-0.042857796,-0.05957727,-0.16028285,-0.12735036,0.060250927,-0.076821625,0.11276437,-0.02366002,Agf41,41-1,2020-07-01,4,2021-06-01,360
24-2_5-20,0.14476107,0.20758042,-0.0051850528,0.19256842,-0.06516482,0.0038949177,0.30135566,-0.0048449934,0.055880815,-0.12482277,Agf24,24-2,2020-05-01,4,2021-05-01,390
34-0_5-20,0.13476057,0.24031353,-0.0051505864,-0.108054586,-0.082546934,-0.110281,0.27748838,-0.06410743,0.3778615,-0.04571291,Agf34,34-0,2020-05-01,2,2021-05-01,330
21-1_5-20,-0.084943704,0.11312711,0.06880519,-0.023818597,-0.22619238,-0.066569395,0.17015532,-0.17290273,-0.0040164217,0.045690738,Agf21,21-1,2020-05-01,4,2021-04-01,330
41-1_5-20,-0.15561734,0.17086095,-0.23649934,-0.22641069,-0.11254556,0.0057759285,-0.11636962,-0.042513654,0.065844715,-0.11397699,Agf41,41-1,2020-05-01,2,2021-06-01,420
45-0_5-20,0.032586336,0.07120237,0.16456832,0.21465492,-0.24336682,-0.098183565,0.2834803,-0.2207485,-0.1185827,0.04925429,Agf45,45-0,2020-05-01,2,2021-03-01,300
24-0_5-20,-0.08008163,0.21412322,-0.1080144,0.115107104,-0.24765222,-0.038111527,0.11452534,-0.04345706,0.06605387,-0.11498072,Agf24,24-0,2020-05-01,4,2021-05-01,390
30-2_7-20,-0.007344581,0.090335175,0.064672425,0.29897133,-0.25380397,-0.37415954,0.18219975,-0.24912947,0.055204645,0.07598992,Agf30,30-2,2020-07-01,4,2021-05-01,330
30-0_5-20,0.044719547,0.04920622,-0.010265842,0.342978,-0.08469506,-0.27423632,0.18550438,-0.16549252,0.029601187,0.022033036,Agf30,30-0,2020-05-01,2,2021-05-01,390
33-1_7-20,0.058672957,0.14434281,-0.015470356,0.14599532,-0.12557517,-0.2953576,0.14064446,-0.11857444,0.22285141,-0.0044830777,Agf33,33-1,2020-07-01,4,2021-07-01,390
35-2_7-20,0.03232488,0.15320289,-0.06849825,0.2554087,-0.15876734,-0.27991763,0.19056697,-0.056962423,0.20733447,-0.07660042,Agf35,35-2,2020-07-01,4,2021-03-01,240
45-0_7-20,-0.20717828,0.23386571,-0.18486555,-0.14628237,-0.005105071,-0.21109778,-0.12303559,-0.14617012,0.14320818,-0.030899515,Agf45,45-0,2020-07-01,4,2021-03-01,240
14-1_5-20,-0.002848575,0.11328348,0.1989925,-0.0691018,-0.21540219,-0.014704712,0.05847009,-0.28013477,-0.26193857,0.13680953,Agf14,14-1,2020-05-01,4,2021-05-01,390
29-2_5-20,0.05555328,0.20795658,-0.033926576,-0.035189994,-0.0078897625,-0.16710332,0.060081348,-0.11693971,0.13234979,0.03166289,Agf29,29-2,2020-05-01,4,2021-05-01,330
40-0_5-20,0.114431724,0.085424304,0.1483608,0.24472615,-0.11671005,-0.29260826,0.25637886,-0.26942194,0.06684904,0.14384711,Agf40,40-0,2020-05-01,2,2021-05-01,390
31-1_5-20,-0.0064565856,0.11711519,0.028704405,0.14568588,-0.27076864,-0.17356686,0.040448233,-0.24709845,-0.21230847,0.04158614,Agf31,31-1,2020-05-01,2,2021-05-01,360
37-2_7-20,-0.17433392,0.09097686,-0.09150649,0.19346187,-0.2400151,-0.05198562,0.11933999,-0.114416674,-0.24883972,-0.12753774,Agf37,37-2,2020-07-01,4,2021-05-01,270
37-0_7-20,-0.007911775,0.25861636,0.039196193,0.20966887,-0.38678733,-0.20138577,0.14429054,-0.10133888,0.025216982,0.0024025259,Agf37,37-0,2020-07-01,4,2021-01-01,180
