Metabolite_Name,Ridge_Coefficient,Direction,Biological_Interpretation
19_noraldosterone_Esi_7_2170024,-41.96300316917272,Negative,Risk Factor (Higher levels = Die Sooner)
645_9667_9_869005,39.32859809552722,Positive,Pro-Survival (Higher levels = Live Longer)
736_3474_10_580995,-36.64496010991981,Negative,Risk Factor (Higher levels = Die Sooner)
Goyaglycoside_g_Esi_7_820006,-36.48537915463479,Negative,Risk Factor (Higher levels = Die Sooner)
_4Z_7Z_10Z_13Z_16Z_19Z__Docosahexaenoic_acid_ethyl_ester_Esi_9_276996,29.569843024480846,Positive,Pro-Survival (Higher levels = Live Longer)
LysoPC_18_3_6Z_9Z_12Z__,28.85661079980504,Positive,Pro-Survival (Higher levels = Live Longer)
L_365260_Esi_6_606996,25.097733507784795,Positive,Pro-Survival (Higher levels = Live Longer)
3b_Hydroxy_6b_tigloyloxy_7_11__eremophilen_12_8b_olide_Esi_6_3680043,-24.538339153152023,Negative,Risk Factor (Higher levels = Die Sooner)
7_8_Dehydro_beta_micropteroxanthin,-19.61297650886557,Negative,Risk Factor (Higher levels = Die Sooner)
_3beta_17alpha_23R__17_23_Epoxy_3_29_dihydroxy_27_norlanost_8_ene_15_24_dione_Esi_8_320005,19.26011123921279,Positive,Pro-Survival (Higher levels = Live Longer)
7alpha_Hydroxytestololactone_1,-17.805014477645397,Negative,Risk Factor (Higher levels = Die Sooner)
206_1519_5_3049946,-16.515707646762486,Negative,Risk Factor (Higher levels = Die Sooner)
10_Hydroxymyristic_acid_methyl_ester,-15.271321796565278,Negative,Risk Factor (Higher levels = Die Sooner)
613_2694_10_275003,14.7127236993273,Positive,Pro-Survival (Higher levels = Live Longer)
Goyaglycoside_h,-13.148584836477806,Negative,Risk Factor (Higher levels = Die Sooner)
17_23_Epoxy_29_hydroxy_27_norlanost_8_ene_3_15_24_trione,12.866212082245575,Positive,Pro-Survival (Higher levels = Live Longer)
_9Z_11S_16S__1_Acetoxy_9_17_octadecadiene_12_14_diyne_11_16_diol_Esi_6_5020065,-10.94216745364955,Negative,Risk Factor (Higher levels = Die Sooner)
4alpha_carboxy_4beta_methyl_zymosterol_Esi_13_890995,-10.09024829075392,Negative,Risk Factor (Higher levels = Die Sooner)
3b_Hydroxy_6b_tigloyloxy_7_11__eremophilen_12_8b_olide,-9.350534367940472,Negative,Risk Factor (Higher levels = Die Sooner)
810_493_15_787997,-8.806834848961756,Negative,Risk Factor (Higher levels = Die Sooner)
Dicyclohexyl_phthalate_1,8.071486942838789,Positive,Pro-Survival (Higher levels = Live Longer)
Cinncassiol_D3,8.002532291303693,Positive,Pro-Survival (Higher levels = Live Longer)
19_noraldosterone,-7.894247987093092,Negative,Risk Factor (Higher levels = Die Sooner)
Ixocarpanolide,7.13486225004911,Positive,Pro-Survival (Higher levels = Live Longer)
N__14_Methylhexadecanoyl_pyrrolidine,0.9567831251735299,Positive,Pro-Survival (Higher levels = Live Longer)
