ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,DateEnd,Cage,MiceName,diff
34-0_7-20,-0.05387664,0.50568396,0.20459276,0.14222017,0.3203297,0.23265952,-0.035360757,0.27929005,0.01281777,0.048434526,2020-07-01,4,2021-05-01,Agf34,34-0,270
36-2_7-20,0.07251657,0.24546203,-0.14512886,-0.1718222,0.13597983,0.23254693,0.01918493,0.029787323,-0.09913992,0.14069167,2020-07-01,4,2021-07-01,Agf36,36-2,390
20-1_5-20,-0.060010284,0.46087527,0.18822297,0.1403825,0.20193075,0.2612818,-0.014919155,0.255482,-0.0032424554,0.19660726,2020-05-01,4,2020-01-01,Agf20,20-1,240
47-1_7-20,0.19129425,0.22041243,-0.2258823,-0.15384236,-0.02707547,0.36455804,0.06284857,-0.07684852,-0.061935857,0.30092478,2020-07-01,4,2021-05-01,Agf47,47-1,270
41-1_7-20,0.120531395,0.27794868,-0.060216762,-0.012168124,0.15940987,0.30917156,0.019346345,0.118030965,0.014011636,0.31187105,2020-07-01,4,2021-06-01,Agf41,41-1,360
24-2_5-20,0.11760926,0.09814947,0.09902531,-0.02944339,0.12309606,-0.028339297,-0.05210204,0.012756348,-0.03547945,0.26999444,2020-05-01,4,2021-05-01,Agf24,24-2,390
34-0_5-20,0.024345478,0.47648835,0.06841861,0.094726816,0.18850306,0.26887637,-0.050351657,0.1864066,0.096311174,0.1955813,2020-05-01,2,2021-05-01,Agf34,34-0,330
21-1_5-20,-0.013424555,0.20522138,-0.08632916,-0.11395213,0.1942499,0.13676108,0.10493931,0.052002195,-0.09943615,0.16711898,2020-05-01,4,2021-04-01,Agf21,21-1,330
41-1_5-20,0.06451278,0.24914786,-0.06336703,-0.074072264,0.16260406,0.25043076,0.10679444,0.08175284,-0.010351315,0.3464465,2020-05-01,2,2021-06-01,Agf41,41-1,420
45-0_5-20,0.17108974,0.18232788,-0.015411712,-0.005803965,0.13671948,0.25975013,0.01722868,0.12689334,-0.06999227,0.21191366,2020-05-01,2,2021-03-01,Agf45,45-0,300
24-0_5-20,0.14524773,0.28227144,-0.017749853,0.026298517,0.15606499,0.08111778,0.020639054,0.1032763,0.063274585,0.21323726,2020-05-01,4,2021-05-01,Agf24,24-0,390
30-2_7-20,0.03842982,0.30007792,-0.015797079,0.039170768,0.24359399,0.23937054,0.032293446,0.13121523,-0.0030707568,0.28162873,2020-07-01,4,2021-05-01,Agf30,30-2,330
30-0_5-20,0.070659876,0.3873806,0.036437213,-0.0598474,0.1412294,0.27607238,0.056967087,0.14679849,0.004305534,0.27497226,2020-05-01,2,2021-05-01,Agf30,30-0,390
33-1_7-20,0.008309817,0.33911625,-0.10199343,-0.10045178,0.20727164,0.18625782,0.049214013,0.10597223,-0.10956508,0.3450023,2020-07-01,4,2021-07-01,Agf33,33-1,390
35-2_7-20,0.017970694,0.44409716,0.10105066,0.13489956,0.20450057,0.3315773,0.08545736,0.18657655,-0.08854601,0.3230828,2020-07-01,,2021-03-01,Agf35,35-2,
45-0_7-20,0.03178376,0.345932,-0.026127562,0.17717147,0.27591437,0.2935846,0.064143255,0.21935003,-0.007730745,0.2653838,2020-07-01,4,2021-03-01,Agf45,45-0,240
14-1_5-20,0.06471171,0.35138035,0.06250853,0.1715582,0.21184114,0.34004128,0.059959166,0.18215571,0.041522093,0.29641974,2020-05-01,4,2021-05-01,Agf14,14-1,390
29-2_5-20,0.0058728866,0.44507504,0.07092911,-0.055099577,0.13276164,0.27988482,0.0022219608,0.15541603,-0.028169326,0.35837346,2020-05-01,4,2021-05-01,Agf29,29-2,330
40-0_5-20,0.20953605,0.21864836,0.010823678,-0.04706026,0.06278249,0.3811109,-0.068055436,0.008798689,0.070716105,0.21288007,2020-05-01,2,2021-05-01,Agf40,40-0,390
31-1_5-20,0.111746565,0.38782674,-0.062701106,-0.099835455,0.124110125,0.35021865,0.013619686,0.06359027,-0.03252255,0.31547594,2020-05-01,2,2021-05-01,Agf31,31-1,360
37-2_7-20,0.09141968,0.3277142,-0.1311659,-0.016913064,0.09519738,0.12833478,0.044159878,0.063093156,-0.15552536,0.2608437,2020-07-01,4,2021-05-01,Agf37,37-2,270
37-0_7-20,0.069787055,0.2650735,-0.08273041,0.06285232,0.17175463,0.04237412,0.04908806,0.102159336,-0.22498938,0.28685492,2020-07-01,4,2021-01-01,Agf37,37-0,180
